url,length,entropy,percent_num,num_special,bao_chi,chinh_tri,co_bac,khieu_dam,tpmt,con_lai,label
uxiin com,5,1.922,0,0,0,0,0,0,0,1,1
drbao ai,5,2.322,0,0,1,0,0,0,0,0,0
6eba9pg1 com,8,3,37.5,0,0,0,0,0,0,1,1
ezchanle com,8,2.75,0,0,0,0,0,0,1,0,1
figaromarrakech com,15,3.273,0,0,0,0,0,0,1,0,1
thitimhieuluatphongchongmatuy,29,3.634,0,0,0,0,0,1,0,0,0
bvquandanybaclieu gov,17,3.455,0,0,0,0,0,0,1,0,0
caodangnghehcm edu,14,3.093,0,0,0,0,0,0,1,0,0
w-wefinex net,9,2.725,0,1,0,0,0,0,0,1,1
cscainghienmatuyna gov,18,3.419,0,0,0,0,0,1,0,0,0
fxoneultra com,10,3.322,0,0,0,0,0,0,1,0,1
dgroupvietnam,13,3.7,0,0,0,0,0,0,0,1,0
taoshopttv xyz,10,2.646,0,0,0,0,0,0,0,1,1
dienmayxanh-vip com,15,3.507,0,1,0,0,0,0,1,0,1
vaythechap-24h online,14,3.325,14.286,1,1,0,0,0,0,0,1
bioderma com,8,3,0,0,0,0,0,0,0,1,0
cplaw,5,2.322,0,0,0,0,0,0,0,1,0
vaynhanhseabank net,15,2.923,0,0,0,0,0,0,1,0,1
